region_i,region_j,site_1,site_2,abs_z,p_raw,is_diag,reject_fdr
4,7,NEUROIMAGE,PEKING,1.7909258426317496,0.07330519601922529,False,False
4,8,NEUROIMAGE,PEKING,0.19874233985530323,0.8424643021981517,False,False
4,9,NEUROIMAGE,PEKING,0.4750709514049537,0.6347364024741022,False,False
4,10,NEUROIMAGE,PEKING,1.3873132308097869,0.16534627037799132,False,False
4,11,NEUROIMAGE,PEKING,2.0398756192773524,0.041362715645730214,False,False
4,12,NEUROIMAGE,PEKING,0.6971081535236744,0.485735111949843,False,False
4,13,NEUROIMAGE,PEKING,0.2503272875186362,0.8023342556961139,False,False
4,14,NEUROIMAGE,PEKING,0.07091137248181165,0.94346829223098,False,False
4,15,NEUROIMAGE,PEKING,0.02137920398143989,0.9829431625933283,False,False
4,16,NEUROIMAGE,PEKING,0.21283261886699995,0.8314575204007462,False,False
4,17,NEUROIMAGE,PEKING,1.1731125758486356,0.24075066404354106,False,False
4,18,NEUROIMAGE,PEKING,3.351081803782595,0.0008049651953936894,False,True
4,19,NEUROIMAGE,PEKING,0.8709485343007665,0.3837822546790911,False,False
4,20,NEUROIMAGE,PEKING,0.8122277388525696,0.41666096558235977,False,False
4,21,NEUROIMAGE,PEKING,0.25614361923661505,0.7978399418645903,False,False
4,22,NEUROIMAGE,PEKING,0.5000841638482448,0.6170158163534949,False,False
4,23,NEUROIMAGE,PEKING,0.7048709395693769,0.4808905564628757,False,False
4,24,NEUROIMAGE,PEKING,1.7689556579360328,0.07690127474229888,False,False
4,25,NEUROIMAGE,PEKING,0.6996946197155453,0.4841180372185526,False,False
4,26,NEUROIMAGE,PEKING,0.6457957297336124,0.5184116538898189,False,False
4,27,NEUROIMAGE,PEKING,1.1420708757506275,0.2534245602382107,False,False
4,28,NEUROIMAGE,PEKING,0.742592660935498,0.45772833315506545,False,False
4,29,NEUROIMAGE,PEKING,0.3697296807638979,0.7115839144235059,False,False
4,30,NEUROIMAGE,PEKING,0.42337795519336235,0.6720195261740098,False,False
4,31,NEUROIMAGE,PEKING,0.010409418950556233,0.9916946353220465,False,False
4,32,NEUROIMAGE,PEKING,1.05415230755501,0.2918131912058163,False,False
4,33,NEUROIMAGE,PEKING,1.775509985869641,0.07581371819899237,False,False
4,34,NEUROIMAGE,PEKING,0.8463460853731632,0.39735970575747437,False,False
4,35,NEUROIMAGE,PEKING,1.622458361383747,0.10470524171241742,False,False
4,36,NEUROIMAGE,PEKING,0.7678185698297786,0.4425949805281598,False,False
4,37,NEUROIMAGE,PEKING,0.6920672658317775,0.4888950873793333,False,False
4,38,NEUROIMAGE,PEKING,0.002345147637292238,0.998128844622539,False,False
